datetime,source,face,face_bbox_x1,face_bbox_y1,face_bbox_x2,face_bbox_y2,head_yaw,head_pitch,head_roll,left_eye_state,right_eye_state,left_eye_state_confidence,right_eye_state_confidence,gaze_yaw,gaze_pitch,facial_expression,race,gender,age,face_center_x,face_center_y,face_area,person
2024-12-12 17:51:16.700506002,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,4,312,492,426,641,-6.62,25.48,-1.71,open,open,1.0,1.0,-10.28,10.35,neutral,middle_eastern,male,25,369.0,566.5,16986,3
2024-12-12 17:51:16.700506002,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,5,918,566,970,627,1.49,22.97,-4.21,closed,closed,0.99,0.98,-3.31,0.67,neutral,white,male,45,944.0,596.5,3172,0
2024-12-12 17:51:16.866322819,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,1,906,129,1038,337,-12.34,-20.97,9.65,open,open,1.0,1.0,-25.89,0.66,neutral,white,male,25,972.0,233.0,27456,2
2024-12-12 17:51:16.866322819,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,3,276,166,350,278,4.98,18.28,-1.26,open,open,1.0,1.0,27.23,16.26,neutral,white,male,25,313.0,222.0,8288,1
2024-12-12 17:51:16.866322819,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,4,312,494,423,637,-3.74,30.13,0.37,open,open,1.0,1.0,-1.9,12.41,neutral,white,male,25,367.5,565.5,15873,3
2024-12-12 17:51:16.866322819,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,5,923,567,974,628,2.15,26.83,-3.55,closed,closed,0.66,0.97,5.34,0.18,neutral,white,male,45,948.5,597.5,3111,0
2024-12-12 17:51:17.012780312,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,1,912,132,1042,338,-5.76,-28.74,8.5,open,open,1.0,1.0,-2.6,-13.51,smilling,middle_eastern,male,25,977.0,235.0,26780,2
2024-12-12 17:51:17.012780312,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,3,272,163,346,275,3.92,22.95,1.1,open,open,1.0,1.0,26.14,18.0,neutral,middle_eastern,male,25,309.0,219.0,8288,1
2024-12-12 17:51:17.012780312,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,4,314,496,422,635,-3.04,30.25,0.88,open,open,1.0,1.0,-0.12,11.88,neutral,middle_eastern,male,25,368.0,565.5,15012,3
2024-12-12 17:51:17.012780312,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,5,925,568,976,628,0.1,24.4,-3.05,closed,closed,0.96,1.0,-9.5,0.44,neutral,white,male,45,950.5,598.0,3060,0
2024-12-12 17:51:17.156712675,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,1,921,138,1051,343,1.56,-26.35,3.35,closed,open,1.0,1.0,9.6,-10.36,neutral,middle_eastern,male,35,986.0,240.5,26650,2
2024-12-12 17:51:17.156712675,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,3,274,163,343,265,1.82,10.21,-2.08,open,open,0.92,1.0,4.72,3.22,admired,middle_eastern,male,25,308.5,214.0,7038,1
2024-12-12 17:51:17.156712675,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,4,316,497,423,635,-4.04,32.44,0.55,open,open,1.0,1.0,-1.0,12.2,neutral,white,male,25,369.5,566.0,14766,3
2024-12-12 17:51:17.156712675,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,5,924,567,976,628,0.09,25.15,-3.3,closed,closed,0.86,1.0,-15.91,-3.97,neutral,white,male,45,950.0,597.5,3172,0
2024-12-12 17:51:17.324212911,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,1,927,141,1057,345,5.88,-24.52,3.16,open,open,1.0,1.0,13.65,-8.76,smilling,middle_eastern,male,35,992.0,243.0,26520,2
2024-12-12 17:51:17.324212911,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,3,274,164,342,263,-0.98,2.32,-3.8,closed,open,1.0,1.0,-4.09,-12.94,admired,middle_eastern,male,25,308.0,213.5,6732,1
2024-12-12 17:51:17.324212911,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,4,319,498,428,637,-2.53,28.75,1.22,open,open,1.0,1.0,0.55,10.3,neutral,middle_eastern,male,25,373.5,567.5,15151,3
2024-12-12 17:51:17.324212911,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,5,922,566,977,628,1.0,19.52,-3.15,closed,open,1.0,0.83,-8.22,-5.89,neutral,white,male,45,949.5,597.0,3410,0
2024-12-12 17:51:17.462253307,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,1,932,142,1064,347,8.64,-25.12,4.52,open,open,1.0,1.0,11.51,-6.18,smilling,middle_eastern,male,35,998.0,244.5,27060,2
2024-12-12 17:51:17.462253307,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,3,275,165,343,265,1.96,-5.21,-3.43,open,open,1.0,1.0,-0.67,-13.78,admired,middle_eastern,male,25,309.0,215.0,6800,1
2024-12-12 17:51:17.462253307,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,4,322,498,432,638,-4.77,28.77,2.33,open,open,1.0,1.0,-7.63,11.51,neutral,middle_eastern,male,25,377.0,568.0,15400,3
2024-12-12 17:51:17.462253307,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,5,921,566,977,631,5.11,12.44,-3.38,closed,open,0.97,1.0,1.29,-7.17,neutral,white,male,45,949.0,598.5,3640,0
2024-12-12 17:51:17.592718315,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,1,935,142,1068,346,8.63,-26.65,3.41,closed,open,0.86,1.0,12.48,-4.78,smilling,middle_eastern,male,35,1001.5,244.0,27132,2
2024-12-12 17:51:17.592718315,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,3,276,165,344,262,1.15,-7.16,-3.14,open,open,1.0,1.0,-0.86,-15.19,admired,middle_eastern,male,25,310.0,213.5,6596,1
2024-12-12 17:51:17.592718315,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,4,322,497,434,639,-4.85,28.37,2.13,open,open,1.0,1.0,-8.32,10.13,neutral,middle_eastern,male,25,378.0,568.0,15904,3
2024-12-12 17:51:17.592718315,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,5,922,567,978,631,4.79,18.19,-3.04,closed,open,0.99,1.0,0.54,-6.3,neutral,white,male,45,950.0,599.0,3584,0
2024-12-12 17:51:17.723183323,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,1,937,143,1070,346,7.37,-27.69,4.5,open,open,0.95,1.0,10.29,-4.67,smilling,middle_eastern,male,35,1003.5,244.5,26999,2
2024-12-12 17:51:17.723183323,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,3,276,165,345,262,1.32,-9.02,-3.48,open,open,1.0,1.0,1.25,-15.93,admired,middle_eastern,male,35,310.5,213.5,6693,1
2024-12-12 17:51:17.723183323,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,4,321,498,434,641,-3.78,27.26,2.17,open,open,1.0,1.0,-7.26,9.93,neutral,middle_eastern,male,25,377.5,569.5,16159,3
2024-12-12 17:51:17.723183323,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,5,922,567,978,630,9.54,19.22,-0.14,closed,closed,1.0,0.98,0.16,-14.43,neutral,white,male,45,950.0,598.5,3528,0
2024-12-12 17:51:17.874691074,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,1,938,144,1070,345,8.42,-27.61,4.91,open,open,1.0,1.0,14.42,-6.52,smilling,middle_eastern,male,35,1004.0,244.5,26532,2
2024-12-12 17:51:17.874691074,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,3,276,164,346,262,1.65,-9.26,-2.58,open,open,1.0,1.0,2.05,-15.43,neutral,middle_eastern,male,25,311.0,213.0,6860,1
2024-12-12 17:51:17.874691074,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,4,320,499,433,643,-2.97,27.38,1.64,open,open,1.0,1.0,-7.12,9.94,neutral,white,male,25,376.5,571.0,16272,3
2024-12-12 17:51:17.874691074,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,5,923,566,980,631,3.26,22.85,-1.39,closed,open,0.99,0.71,-8.61,-9.88,neutral,white,male,45,951.5,598.5,3705,0
2024-12-12 17:51:17.998422404,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,1,932,141,1066,344,4.54,-25.13,5.44,open,open,1.0,1.0,-2.54,-6.22,smilling,middle_eastern,male,35,999.0,242.5,27202,2
